loss,delay,fast_recovery,md5_hash,ttc
0.0,20,True,None,3.204949140548706
0.0,20,True,None,3.2030062675476074
0.0,20,True,None,3.2045743465423584
0.0,20,True,None,3.1996805667877197
0.0,20,True,None,3.2077085971832275
0.0,20,False,None,3.2059473991394043
0.0,20,False,None,3.22048282623291
0.0,20,False,None,3.2129783630371094
0.0,20,False,None,3.2109336853027344
0.0,20,False,None,3.2091808319091797
0.5,20,True,None,3.201831340789795
0.5,20,True,None,3.207357168197632
0.5,20,True,None,3.2083120346069336
0.5,20,True,None,3.2030794620513916
0.5,20,True,None,3.2132792472839355
0.5,20,False,None,3.2157793045043945
0.5,20,False,None,3.2046544551849365
0.5,20,False,None,3.209042549133301
0.5,20,False,None,3.210747480392456
0.5,20,False,None,3.2156100273132324
1.0,20,True,None,3.205559492111206
1.0,20,True,None,3.212282419204712
1.0,20,True,None,3.218613386154175
1.0,20,True,None,5.214296579360962
1.0,20,True,None,5.214285612106323
1.0,20,False,None,4.229243516921997
1.0,20,False,None,11.229122400283813
1.0,20,False,None,3.20993709564209
1.0,20,False,None,3.2152140140533447
1.0,20,False,None,5.211894750595093
1.5,20,True,None,5.218998432159424
1.5,20,True,None,3.205329179763794
1.5,20,True,None,7.208843231201172
1.5,20,True,None,9.206341028213501
1.5,20,True,None,7.21541166305542
1.5,20,False,None,7.21940279006958
1.5,20,False,None,3.211456298828125
1.5,20,False,None,3.2088496685028076
1.5,20,False,None,3.197779655456543
1.5,20,False,None,3.201876401901245
2.0,20,True,None,5.209744691848755
2.0,20,True,None,9.21828293800354
2.0,20,True,None,7.21669340133667
2.0,20,True,None,3.210740566253662
2.0,20,True,None,3.2165911197662354
2.0,20,False,None,3.209651231765747
2.0,20,False,None,7.223191738128662
2.0,20,False,None,7.2162957191467285
2.0,20,False,None,7.2133800983428955
2.0,20,False,None,7.21203351020813
2.5,20,True,None,7.206177473068237
2.5,20,True,None,13.229191541671753
2.5,20,True,None,4.225904226303101
2.5,20,True,None,5.2081897258758545
2.5,20,True,None,3.206207036972046
2.5,20,False,None,7.213762521743774
2.5,20,False,None,3.2036454677581787
2.5,20,False,None,7.207822799682617
2.5,20,False,None,13.220475196838379
2.5,20,False,None,9.168330192565918
3.0,20,True,None,5.213658809661865
3.0,20,True,None,5.210038661956787
3.0,20,True,None,9.209827899932861
3.0,20,True,None,3.2109181880950928
3.0,20,True,None,7.208582878112793
3.0,20,False,None,13.232141494750977
3.0,20,False,None,9.217623710632324
3.0,20,False,None,9.215974807739258
3.0,20,False,None,9.209215641021729
3.0,20,False,None,7.210581541061401
3.5,20,True,None,7.216448068618774
3.5,20,True,None,5.22190260887146
3.5,20,True,None,7.212623119354248
3.5,20,True,None,15.2161226272583
3.5,20,True,None,13.209754228591919
3.5,20,False,None,8.241549253463745
3.5,20,False,None,7.205652475357056
3.5,20,False,None,7.216572046279907
3.5,20,False,None,5.2108094692230225
3.5,20,False,None,8.223860025405884
4.0,20,True,None,7.209059715270996
4.0,20,True,None,11.218672752380371
4.0,20,True,None,11.217479467391968
4.0,20,True,None,7.215068817138672
4.0,20,True,None,7.21300745010376
4.0,20,False,None,9.214605331420898
4.0,20,False,None,5.206534385681152
4.0,20,False,None,11.215242624282837
4.0,20,False,None,15.181884288787842
4.0,20,False,None,9.218934774398804
4.5,20,True,None,5.21041464805603
4.5,20,True,None,11.210681200027466
4.5,20,True,None,17.223965167999268
4.5,20,True,None,9.216285943984985
4.5,20,True,None,5.2116241455078125
4.5,20,False,None,13.225391149520874
4.5,20,False,None,9.214736700057983
4.5,20,False,None,5.211282014846802
4.5,20,False,None,13.229042053222656
4.5,20,False,None,11.213695526123047
5.0,20,True,None,5.204342603683472
5.0,20,True,None,9.2082200050354
5.0,20,True,None,7.221167325973511
5.0,20,True,None,7.224370002746582
5.0,20,True,None,5.209610939025879
5.0,20,False,None,4.232377052307129
5.0,20,False,None,6.218089580535889
5.0,20,False,None,7.212831974029541
5.0,20,False,None,15.216920375823975
5.0,20,False,None,11.17146897315979
